10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
"III paint, hull \& superstructure",,"Paint, topsides",4.217,3975.729,0.000,2538.542,,,0.703 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",14.322,6304.912,-1106.069,2544.401,,,2.387 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",10.767,6464.570,-843.757,3047.631,,,1.795 m^2,,
"II wheelhouse side, stbd",,"Al plate, 5083, 4mm",7.443,6398.791,1105.670,1195.357,,,0.700 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",22.318,5652.971,1044.953,1709.515,,,3.720 m^2,,
"II wheelhouse side, port",,"Al plate, 5083, 4mm",7.443,6398.791,-1105.670,1195.357,,,0.700 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",22.318,5652.971,-1044.953,1709.515,,,3.720 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",26.407,8000.000,0.000,2091.521,,,4.401 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",14.322,6304.912,1106.069,2544.401,,,2.387 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",4.127,4294.215,-783.793,2538.407,,,0.688 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",4.127,4294.215,783.793,2538.407,,,0.688 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",3.548,5609.353,0.000,2920.863,,,0.591 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",4.805,4659.884,-609.317,3042.133,,,0.801 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",18.042,6617.750,0.000,3156.222,,,3.007 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",5.576,4412.509,0.000,3042.133,,,0.929 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",4.805,4659.885,609.317,3042.133,,,0.801 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",10.767,6464.570,843.757,3047.631,,,1.795 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",3.306,5782.850,0.000,2156.222,,,0.551 m^2,,
"III paint, hull \& superstructure",,"Paint, topsides",16.043,3763.851,0.000,1978.132,,,2.674 m^2,,
IV fo'c'sl table,,"Ply, marine, 18mm",7.993,2150.000,0.000,512.000,,,0.903 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",225.918,4255.775,-1495.095,660.695,,,14.173 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",4.560,-1026.462,-118.965,1080.826,,,0.286 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",4.552,9883.534,-1640.540,459.501,,,0.286 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",4.560,-1026.462,118.965,1080.826,,,0.286 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",4.552,9883.534,1640.540,459.501,,,0.286 m^2,,
"I fender flat stem, port",,"Al plate, 5083, 12mm",1.998,-1363.497,-178.763,1533.316,,,0.063 m^2,,
"I fender flat, port",,"Al plate, 5083, 12mm",60.188,4097.512,-1689.824,1332.835,,,1.887 m^2,,
"I fender flat transom, port",,"Al plate, 5083, 12mm",1.120,9869.395,-1801.528,1163.546,,,0.035 m^2,,
"I fender flat stem, stbd",,"Al plate, 5083, 12mm",1.998,-1363.497,178.763,1533.316,,,0.063 m^2,,
"I fender flat, stbd",,"Al plate, 5083, 12mm",60.188,4097.512,1689.824,1332.835,,,1.887 m^2,,
"I fender flat transom, stbd",,"Al plate, 5083, 12mm",1.120,9869.395,1801.528,1163.546,,,0.035 m^2,,
"I plating, chine",,"Al plate, 5083, 10mm",39.537,5281.917,-1360.823,-8.925,,,1.488 m^2,,
"I plating, chine",,"Al plate, 5083, 10mm",39.537,5281.917,1360.823,-8.925,,,1.488 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",1.526,4230.938,-712.645,2528.787,,,0.144 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",1.526,4230.938,712.645,2528.787,,,0.144 m^2,,
point,,CUMMINS QSB5.9 W/ZF85A,696.000,6216.988,-750.000,220.522,,,0.000 N/A,,
point,,CUMMINS QSB5.9 W/ZF85A,696.000,6216.988,750.000,220.522,,,0.000 N/A,,
II wheelhouse top,,"Al plate, 5083, 4mm",2.371,4645.047,184.056,3077.211,,,0.223 m^2,,
II wheelhouse top,,"Al plate, 5083, 4mm",2.371,4645.047,-184.056,3077.211,,,0.223 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.852,3975.729,312.180,2538.542,,,0.080 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.852,3975.729,-312.180,2538.542,,,0.080 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.775,4310.059,540.701,2156.192,,,0.073 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.775,4310.059,-540.701,2156.192,,,0.073 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",14.212,3763.851,559.945,1978.132,,,1.337 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",14.212,3763.851,-559.945,1978.132,,,1.337 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.716,3946.351,505.353,2920.830,,,0.067 m^2,,
II wheelhouse front,,"Al plate, 5083, 4mm",0.716,3946.351,-505.353,2920.830,,,0.067 m^2,,
I eng rm deck plate,,"Al plate, 6061T6, 8mm",22.199,9498.897,0.000,-375.000,,,1.028 m^2,,
I eng rm deck plate,,"Al plate, 6061T6, 8mm",66.744,6499.990,0.000,-375.000,,,3.090 m^2,,
"VI de-icing water pump, stbd",,Machinery,* 4.500,5114.500,1042.000,209.637,,,N/A,,
"VI de-icing water pump, stbd",,Machinery,* 4.500,5114.500,-458.000,209.637,,,N/A,,
IV stairs,,"Ply, marine, 18mm",4.002,4858.500,-326.500,863.500,,,0.452 m^2,,
IV helm station,,"Ply, marine, 18mm",1.443,4858.500,75.000,1750.000,,,0.163 m^2,,
I wheelhouse sole,,"Al plate, 6061T6, 8mm",141.035,6513.354,9.384,1077.000,,,6.529 m^2,,
"I eng rm bhd, fwd",,"Al plate, 6061T6, 8mm",98.444,5000.000,21.890,454.382,,,4.558 m^2,,
IV helm station,,"Ply, marine, 18mm",13.189,4464.885,168.610,1977.000,,,1.490 m^2,,
"IV bhd liner, eng rm bhd, cabin",,"Ply, marine, 18mm",8.397,4960.000,-1285.379,677.770,,,0.949 m^2,,
IV stairs,,"Ply, marine, 18mm",0.682,4960.000,-982.990,1635.289,,,0.077 m^2,,
"IV bhd liner, eng rm bhd, cabin",,"Ply, marine, 18mm",23.397,4960.000,682.258,546.238,,,2.643 m^2,,
IV helm station,,"Ply, marine, 18mm",8.158,4960.000,358.177,1639.573,,,0.922 m^2,,
IV helm station,,"Ply, marine, 18mm",0.365,5000.000,-1022.110,1184.527,,,0.041 m^2,,
IV helm station,,"Ply, marine, 18mm",0.684,5000.000,-982.987,1634.137,,,0.077 m^2,,
"IV bhd liner, eng rm bhd, cabin",,"Ply, marine, 18mm",5.759,4960.000,-615.247,267.124,,,0.651 m^2,,
IV stairs,,"Ply, marine, 18mm",9.979,4599.982,-926.500,1162.336,,,1.127 m^2,,
