10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
I frame 4,,"Al plate, 6061T6, 4mm",8.419,600.000,0.000,458.752,,,0.779 m^2,,
I frame 3,,"Al plate, 6061T6, 4mm",5.483,200.000,0.000,703.939,,,0.508 m^2,,
"I keel, vertical, center",,"Al plate, 6061T6, 10mm",26.108,4032.830,0.000,-244.006,,,0.967 m^2,,
"I keel, vertical, center",,"Al plate, 6061T6, 10mm",32.746,4013.576,0.000,-290.955,,,1.213 m^2,,
"I aft deck beam, inboard, stbd",,"Al plate, 6061T6, 4mm",1.724,8997.460,410.000,1198.801,,,0.160 m^2,,
"I aft deck beam, inboard, stbd",,"Al plate, 6061T6, 4mm",1.724,8997.468,450.000,1238.801,,,0.160 m^2,,
"I aft deck beam, inboard, port",,"Al plate, 6061T6, 4mm",1.724,8997.460,-410.000,1198.801,,,0.160 m^2,,
"I aft deck beam, inboard, port",,"Al plate, 6061T6, 4mm",1.724,8997.468,-450.000,1238.801,,,0.160 m^2,,
"I deck beam, stem",,"Al plate, 6061T6, 4mm",0.291,-1000.000,0.000,1608.859,,,0.027 m^2,,
"I deck beam, stem",,"Al plate, 6061T6, 4mm",0.389,-1000.000,0.000,1593.851,,,0.036 m^2,,
"I beam, deck, stbd",,"Al plate, 6061T6, 4mm",5.592,2022.138,623.030,1449.263,,,0.518 m^2,,
"I beam, deck, stbd",,"Al plate, 6061T6, 4mm",3.456,6999.826,1058.079,1076.989,,,0.320 m^2,,
"I beam, deck, stbd",,"Al plate, 6061T6, 4mm",0.861,9476.459,1024.009,1172.358,,,0.080 m^2,,
"I beam, deck, stbd",,"Al plate, 6061T6, 4mm",16.443,5334.298,949.001,1295.786,,,1.523 m^2,,
"I beam, deck, port",,"Al plate, 6061T6, 4mm",5.592,2022.138,-623.030,1449.263,,,0.518 m^2,,
"I beam, deck, port",,"Al plate, 6061T6, 4mm",3.456,6999.826,-1058.079,1076.989,,,0.320 m^2,,
"I beam, deck, port",,"Al plate, 6061T6, 4mm",0.861,9476.459,-1024.009,1172.358,,,0.080 m^2,,
"I beam, deck, port",,"Al plate, 6061T6, 4mm",16.443,5334.298,-949.001,1295.786,,,1.523 m^2,,
I frame 2,,"Al plate, 6061T6, 4mm",0.997,-200.000,0.000,1088.054,,,0.092 m^2,,
I frame 2,,"Al plate, 6061T6, 4mm",13.828,-200.000,0.000,1154.009,,,1.280 m^2,,
surface,,"Al plate, 6061T6, 4mm",2.017,200.000,0.000,1109.845,,,0.187 m^2,,
"I eng rm bhd, fwd",,"Al plate, 6061T6, 8mm",0.934,5081.500,-326.500,944.300,,,0.043 m^2,,
"I eng rm bhd, fwd",,"Al plate, 6061T6, 8mm",0.934,5081.500,-926.500,944.300,,,0.043 m^2,,
"I eng rm bhd, fwd",,"Al plate, 6061T6, 8mm",5.552,5131.990,-626.500,893.810,,,0.257 m^2,,
polysurface,,"Al plate, 6061T6, 4mm",2.289,5800.000,0.000,336.216,,,0.212 m^2,,
"I long'l, bottom, inboard, stbd",,"Al plate, 6061T6, 8mm",13.144,3163.465,231.754,-349.344,,,0.609 m^2,,
"I long'l, bottom, inboard, stbd",,"Al plate, 6061T6, 8mm",13.149,3162.863,298.309,-371.437,,,0.609 m^2,,
"I long'l, bottom, quarter beam, stbd",,"Al plate, 6061T6, 8mm",12.239,3374.113,688.732,-192.693,,,0.567 m^2,,
"I long'l, bottom, quarter beam, stbd",,"Al plate, 6061T6, 8mm",12.233,3375.116,621.000,-174.231,,,0.566 m^2,,
"I long'l, bottom, outboard, stbd",,"Al plate, 6061T6, 8mm",10.399,3798.985,996.515,-21.303,,,0.481 m^2,,
"I long'l, bottom, outboard, stbd",,"Al plate, 6061T6, 8mm",10.423,3793.171,1064.537,-38.220,,,0.483 m^2,,
"I long'l, bottom, inboard, port",,"Al plate, 6061T6, 8mm",13.144,3163.465,-231.754,-349.344,,,0.609 m^2,,
"I long'l, bottom, inboard, port",,"Al plate, 6061T6, 8mm",13.149,3162.863,-298.309,-371.437,,,0.609 m^2,,
"I long'l, bottom, quarter beam, port",,"Al plate, 6061T6, 8mm",12.239,3374.113,-688.732,-192.693,,,0.567 m^2,,
"I long'l, bottom, quarter beam, port",,"Al plate, 6061T6, 8mm",12.233,3375.116,-621.000,-174.231,,,0.566 m^2,,
"I long'l, bottom, outboard, port",,"Al plate, 6061T6, 8mm",10.399,3798.985,-996.515,-21.303,,,0.481 m^2,,
"I long'l, bottom, outboard, port",,"Al plate, 6061T6, 8mm",10.423,3793.171,-1064.537,-38.220,,,0.483 m^2,,
"I eng rm bhd, fwd",,"Al plate, 6061T6, 8mm",0.977,4980.000,-626.500,873.890,,,0.045 m^2,,
I chain locker flat,,"Al plate, 6061T6, 6mm",22.222,490.892,0.000,311.944,,,1.372 m^2,,
I seachest bhds,,"Al plate, 6061T6, 8mm",5.540,7999.979,0.000,-378.699,,,0.256 m^2,,
I seachest bhds,,"Al plate, 6061T6, 8mm",5.470,8498.359,0.000,-377.066,,,0.253 m^2,,
"I carlin, fwd",,"Al plate, 6061T6, 4mm",0.389,2779.650,224.896,1436.834,,,0.036 m^2,,
"I carlin, fwd",,"Al plate, 6061T6, 4mm",0.389,2819.643,225.001,1476.834,,,0.036 m^2,,
"I carlin, fwd",,"Al plate, 6061T6, 4mm",0.389,2779.650,-224.896,1436.834,,,0.036 m^2,,
"I carlin, fwd",,"Al plate, 6061T6, 4mm",0.389,2819.643,-225.001,1476.834,,,0.036 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",40.358,9980.693,750.478,481.811,,,2.532 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",40.358,9980.693,-750.478,481.811,,,2.532 m^2,,
"I plating, topsides",,"Al plate, 5083, 6mm",225.918,4255.775,1495.095,660.695,,,14.173 m^2,,
III windows,,"Glass, 12mm",6.020,8000.000,575.854,2530.287,,,0.193 m^2,,
III windows,,"Glass, 12mm",6.020,8000.000,-575.854,2530.287,,,0.193 m^2,,
III windows,,"Glass, 12mm",9.169,4422.341,604.898,3011.730,,,0.294 m^2,,
III windows,,"Glass, 12mm",12.227,4225.841,709.210,2532.597,,,0.392 m^2,,
III windows,,"Glass, 12mm",12.883,7491.175,970.306,2531.068,,,0.413 m^2,,
III windows,,"Glass, 12mm",10.945,6763.584,969.652,2538.542,,,0.351 m^2,,
III windows,,"Glass, 12mm",10.945,6087.306,969.652,2538.542,,,0.351 m^2,,
III windows,,"Glass, 12mm",11.900,5386.028,969.652,2538.542,,,0.381 m^2,,
III windows,,"Glass, 12mm",8.398,4741.118,966.329,2576.533,,,0.269 m^2,,
III windows,,"Glass, 12mm",8.464,3975.729,199.253,2538.542,,,0.271 m^2,,
III windows,,"Glass, 12mm",8.464,3975.729,-199.253,2538.542,,,0.271 m^2,,
III windows,,"Glass, 12mm",7.538,4197.801,166.639,3009.745,,,0.242 m^2,,
III windows,,"Glass, 12mm",7.538,4197.801,-166.639,3009.745,,,0.242 m^2,,
III windows,,"Glass, 12mm",9.169,4422.341,-604.898,3011.730,,,0.294 m^2,,
III windows,,"Glass, 12mm",12.227,4225.841,-709.210,2532.597,,,0.392 m^2,,
III windows,,"Glass, 12mm",12.883,7491.175,-970.306,2531.068,,,0.413 m^2,,
III windows,,"Glass, 12mm",10.945,6763.584,-969.652,2538.542,,,0.351 m^2,,
III windows,,"Glass, 12mm",10.945,6087.306,-969.652,2538.542,,,0.351 m^2,,
III windows,,"Glass, 12mm",11.900,5386.028,-969.652,2538.542,,,0.381 m^2,,
III windows,,"Glass, 12mm",8.398,4741.118,-966.329,2576.533,,,0.269 m^2,,
"IV interior liner, below decks",,"Ply, marine, 6mm",291.494,4931.455,0.000,598.480,,,88.897 m^2,,
"V mattress, fwd berth, stbd",,Mattress foam 5.9 lb/ft3,17.915,2064.607,675.305,130.289,,,0.189 m^3,,
"V mattress, fwd berth, port",,Mattress foam 5.9 lb/ft3,17.915,2064.607,-675.305,130.289,,,0.189 m^3,,
IV head,,"Ply, marine, 18mm",2.162,4000.104,1087.227,925.000,,,0.244 m^2,,
IV head,,"Ply, marine, 18mm",2.872,4100.000,1066.744,789.264,,,0.324 m^2,,
IV head,,"Ply, marine, 18mm",6.063,4100.000,990.536,329.617,,,0.685 m^2,,
"IV galley, stbd",,"Ply, marine, 18mm",10.318,3576.560,1026.549,650.000,,,1.166 m^2,,
IV helm station,,"Ply, marine, 18mm",8.185,5000.000,358.168,1638.456,,,0.925 m^2,,
IV helm station,,"Ply, marine, 18mm",2.846,5000.000,389.437,1188.312,,,0.322 m^2,,
"IV galley, stbd",,"Ply, marine, 18mm",5.581,3464.668,1136.500,1016.724,,,0.630 m^2,,
IV head,,"Ply, marine, 18mm",2.636,3900.000,741.430,1634.469,,,0.298 m^2,,
IV head,,"Ply, marine, 18mm",7.513,3900.000,1074.251,1007.297,,,0.849 m^2,,
"IV galley, stbd",,"Ply, marine, 18mm",9.532,3040.000,1095.445,580.790,,,1.077 m^2,,
"IV bhd liner, fwd, cabin side",,"Ply, marine, 18mm",31.210,1040.000,0.000,819.118,,,3.526 m^2,,
"IV galley, port",,"Ply, marine, 18mm",11.961,3659.686,-1029.216,650.000,,,1.351 m^2,,
"IV galley, port",,"Ply, marine, 18mm",9.532,3040.000,-1095.445,580.790,,,1.077 m^2,,
IV stairs,,"Ply, marine, 18mm",3.944,4263.000,-678.573,1655.681,,,0.446 m^2,,
IV stairs,,"Ply, marine, 18mm",16.647,4263.000,-952.796,639.455,,,1.881 m^2,,
"IV fwd berth, stbd",,"Ply, marine, 18mm",5.469,2033.555,345.889,-98.992,,,0.618 m^2,,
"IV fwd berth, port",,"Ply, marine, 18mm",5.469,2033.555,-345.889,-98.992,,,0.618 m^2,,
"IV fwd berth, port",,"Ply, marine, 18mm",8.778,2039.178,-595.700,50.000,,,0.992 m^2,,
"IV fwd berth, stbd",,"Ply, marine, 18mm",8.778,2039.178,595.700,50.000,,,0.992 m^2,,
"IV galley, port",,"Ply, marine, 18mm",9.743,3651.500,-476.500,200.000,,,1.101 m^2,,
IV stairs,,"Ply, marine, 18mm",0.888,4510.000,-225.000,15.400,,,0.100 m^2,,
IV stairs,,"Ply, marine, 18mm",2.321,4510.000,-326.500,15.400,,,0.262 m^2,,
IV stairs,,"Ply, marine, 18mm",2.624,4510.000,-626.500,280.800,,,0.296 m^2,,
IV head,,"Ply, marine, 18mm",20.896,4430.000,476.500,863.500,,,2.361 m^2,,
IV helm station,,"Ply, marine, 18mm",0.319,4980.000,-926.500,1527.000,,,0.036 m^2,,
IV helm station,,"Ply, marine, 18mm",0.319,4980.000,-326.500,1527.000,,,0.036 m^2,,
IV stairs,,"Ply, marine, 18mm",2.488,4800.989,-626.500,471.011,,,0.281 m^2,,
"IV galley, stbd",,"Ply, marine, 18mm",6.851,3470.000,476.500,200.000,,,0.774 m^2,,
"VIII FO tank, stbd",,"Al plate, 6061T6, 8mm",5.277,7249.982,1565.458,504.381,,,0.244 m^2,,
"VIII FO tank, stbd",,"Al plate, 6061T6, 8mm",63.322,7255.624,1491.708,574.053,,,2.932 m^2,,
"VIII FO tank, port",,"Al plate, 6061T6, 8mm",5.277,7249.982,-1565.458,504.381,,,0.244 m^2,,
"VIII FO tank, port",,"Al plate, 6061T6, 8mm",63.322,7255.624,-1491.708,574.053,,,2.932 m^2,,
VIII FW tank,,None,* 15.910,4481.000,-1053.500,483.800,,,N/A,,
"VII exhaust system, genset",,"Plastic (PVC), 10mm",1.145,8916.803,440.937,536.645,,,0.076 m^2,,
"VII exhaust system, genset",,"Plastic (PVC), 10mm",4.844,8825.069,873.484,695.989,,,0.323 m^2,,
"VII exhaust system, genset",,"Plastic (PVC), 10mm",4.045,8706.500,467.000,351.204,,,0.270 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",6.094,6945.468,-384.678,556.535,,,0.406 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",1.623,6856.159,-390.763,771.114,,,0.108 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",16.838,8200.000,-985.000,304.525,,,1.123 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",2.728,8052.923,-985.000,88.470,,,0.182 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",2.529,8338.000,-985.000,538.983,,,0.169 m^2,,
"VII exhaust, main eng, port",,"Plastic (PVC), 10mm",11.776,9220.469,-1051.674,396.184,,,0.785 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",6.094,6945.468,1115.322,556.535,,,0.406 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",1.623,6856.159,1109.237,771.114,,,0.108 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",16.838,8200.000,985.000,304.525,,,1.123 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",2.728,8052.923,985.000,88.470,,,0.182 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",2.529,8338.000,985.000,538.983,,,0.169 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",6.551,7597.021,1062.017,384.210,,,0.437 m^2,,
"VII exhaust, main eng, stbd",,"Plastic (PVC), 10mm",11.776,9220.469,1051.674,396.184,,,0.785 m^2,,
surface,,"Al plate, 6061T6, 4mm",35.332,4822.036,-1263.232,1373.671,,,3.271 m^2,,
surface,,"Al plate, 6061T6, 4mm",33.894,4829.447,-1312.501,1372.182,,,3.138 m^2,,
surface,,"Al plate, 6061T6, 4mm",35.332,4822.036,1263.232,1373.671,,,3.271 m^2,,
surface,,"Al plate, 6061T6, 4mm",33.894,4829.447,1312.501,1372.182,,,3.138 m^2,,
"VIII expansion tank, de-icing, stbd",,None,* 5.000,8154.676,870.039,2669.094,,,N/A,,
"VIII expansion tank, de-icing, port",,None,* 5.000,8154.676,-870.039,2669.094,,,N/A,,
VI air compressor,,None,* 61.000,8749.190,0.000,-148.520,,,N/A,,
VII fuel conditioners,,None,* 4.000,5400.000,1023.626,-355.096,,,N/A,,
VII fuel debuggers,,None,* 6.000,3955.728,40.000,-503.065,,,N/A,,
"VII fuel filters, port",,None,* 8.000,6500.000,-1645.056,523.276,,,N/A,,
"VII fuel filters, stbd",,None,* 8.000,6500.000,1690.289,536.662,,,N/A,,
VI pressure water pump,,None,* 3.000,3646.925,694.179,-211.353,,,N/A,,
VIII holding tank piping,,None,* 6.000,4554.256,705.608,-233.453,,,N/A,,
V galley sink,,None,* 2.000,3470.000,598.767,650.000,,,N/A,,
V galley mixer faucet,,None,* 1.000,3470.000,807.041,650.000,,,N/A,,
"VIII FW hose, galley, head",,None,* 5.000,4430.000,476.500,-250.000,,,N/A,,
III wheelhouse door,,None,* 20.000,8000.000,0.000,2325.121,,,N/A,,
III eng rm door,,None,* 20.000,1910.007,162.124,161.769,,,N/A,,
Totals,,,20231.002,5962.829,6.287,311.814,,,,,
,,,,,,,,,,,
* Values with an asterisk are assigned directly and not computed from the corresponding material and geometry.,,,,,,,,,,,
